G5oh_A01_n4	G6oh_A02_n3	G6oh_A03_n6	G6oh_A03_n7	G6oh_A03_n3	G7oh_A03_n4	G8oh_A01_n2	G8oh_A01_n3	G8oh_A03_n3
0.05464	0.20528	0.13104	0.00328	0.07192001	0.08584	1.04512	0.11344	0.0744
0.29584	0.47448	0.32872	0.14736	0.19856	0.20416	2.22744	0.29568	0.11528
0.38768	0.73664	0.54904	0.25848	0.32848	0.30664	4.8992	0.48064	0.17104
0.52448	0.99008	0.65896	0.41104	0.4934401	0.54488	8.45016	0.64424	0.38672
0.63552	1.23792	0.91208	0.51632	0.6493601	0.66672	9.92	0.80368	0.4212
0.76352	1.49104	1.0664	0.61952	0.7628801	0.7544	11.6093	1.0608	0.6056
0.88576	1.72952	1.22608	0.73464	0.8961601	0.8528	12.1379	1.24656	0.64944
0.9764	2.05624	1.44416	0.85976	1.02336	0.93296	14.7846	1.33512	0.68136
1.11152	2.31264	1.69384	0.97544	1.1432	1.1336	16.1194	1.4148	0.76184
1.23504	2.63992	1.85872	1.10648	1.31664	1.17824	18.6858	1.78488	0.80336
1.342	2.90136	2.01672	1.218	1.4348	1.30304	22.5536	1.99624	0.89848
1.48632	3.24056	2.17672	1.35528	1.61432	1.56808	28.2281	2.13728	1.00576
1.59496	3.54296	2.37272	1.4948	1.74136	1.6896	30.5702	2.21976	1.0464
1.72112	3.83136	2.47176	1.5892	1.86592	1.76952	33.3295	2.3496	1.18712
1.85032	4.09336	2.60992	1.66448	2.0136	2.08392	36.2689	2.422	1.2424
1.94368	4.37528	2.77376	1.83864	2.14968	2.13456	36.9128	2.506	1.38584
2.0712	4.63488	2.88376	1.98648	2.25464	2.24328	44.759	2.79392	1.40368
2.20544	4.95424	3.20504	2.05016	2.44232	2.34136	54.5191	2.9652	1.42296
2.31656	5.19968	3.32736	2.18784	2.60808	2.47256	56.2646	3.16256	1.6312
2.4332	5.51944	3.46576	2.29856	2.7124	2.60032	56.7554	3.29552	1.65152
2.54736	5.74816	3.58168	2.41824	2.93728	2.93936	65.913	3.48768	1.78
2.64288	6.03848	3.698	2.53096	3.03576	3.03224	69.6353	3.6836	1.82784
2.78584	6.24912	3.80848	2.67512	3.16352	3.22616	78.585	4.00512	1.86424
2.92272	6.74432	3.89832	2.80088	3.392401	3.34432	80.1195	4.14416	1.91432
3.01312	6.97296	4.01144	2.88864	3.48048	3.58416	82.1232	4.32584	2.02312
3.15232	7.27544	4.12176	2.98664	3.659441	3.67168	82.9696	4.46792	2.07496
3.31272	7.55728	4.25864	3.16648	3.767601	3.73872	84.1971	4.61928	2.12616
3.4016	7.8604	4.40368	3.29608	3.969921	3.97464	85.2435	4.74392	2.21152
3.53984	8.0884	4.70688	3.376	4.137441	4.02896	85.2992	4.9616	2.23296
3.67072	8.38008	4.92984	3.51616	4.2872	4.15928	85.9866	5.11544	2.42624
3.79568	8.71992	4.98728	3.66144	4.54632	4.22336	87.1197	5.3072	2.48008
3.89192	8.9384	5.07896	3.75112	4.695681	4.36488	87.2141	5.39488	2.51112
4.05776	9.27584	5.216	3.85688	4.810321	4.46952	87.7322	5.54328	2.6048
4.1924	9.57568	5.32504	3.98368	4.927441	4.58544	88.6125	5.74984	2.66808
4.27736	9.84088	5.46376	4.12456	5.070721	4.66944	88.8063	5.86912	2.7872
4.38872	10.0855	5.54672	4.1992	5.243841	4.76968	90.5203	5.99488	2.86032
4.53352	10.3743	5.62432	4.38616	5.403921	4.87352	90.8087	6.0824	2.89392
4.62424	10.6778	5.68952	4.49584	5.588481	4.97712	91.9334	6.21888	3.2232
4.77	10.9185	5.81752	4.66096	5.717361	5.1292	92.838	6.32096	3.26488
4.87776	11.2126	5.90944	4.75504	5.862321	5.18864	92.9911	6.41264	3.35592
4.9824	11.4834	6.07176	4.896	6.080881	5.5296	93.0348	6.51584	3.3836
5.0976	11.7805	6.18296	4.99328	6.214081	5.61864	93.0589	6.60672	3.48224
5.22032	12.0958	6.27656	5.09768	6.330561	5.80104	96.042	6.75968	3.53656
5.33096	12.3232	6.36248	5.22696	6.547601	5.8768	96.5811	7.04312	3.6016
5.4452	12.6063	6.49776	5.36544	6.690801	5.9712	96.7305	7.40568	3.65216
5.5712	12.9213	6.6224	5.48752	6.845601	6.04984	97.7215	7.76008	3.71168
5.68288	13.2251	6.7284	5.61856	6.948081	6.14776	98.0171	7.9188	3.74616
5.8084	13.541	6.80712	5.74112	7.069361	6.268	98.0459	8.1392	3.82064
5.91984	13.7778	6.91928	5.81336	7.341761	6.36408	98.126	8.24352	3.85648
6.03904	14.0138	7.05816	5.94832	7.473921	6.53224	99.2894	8.47112	3.9848
6.15424	14.2162	7.11848	6.20584	7.619121	6.58056	99.6	8.73344	4.07584
6.29096	14.497	7.28376	6.324	7.758481	6.7192	100.162	8.9128	4.15032
6.41664	14.7618	7.4408	6.4424	7.888401	6.79616	100.221	9.0596	4.27728
6.50192	15.0238	7.55792	6.54288	8.029441	6.8836	101.169	9.25576	4.37464
6.61872	15.3344	7.65648	6.62184	8.186321	7.02328	101.2	9.38232	4.40496
6.70848	15.6934	7.75616	6.78152	8.336641	7.09504	101.961	9.55192	4.47184
6.84912	16.057	7.85544	6.86272	8.461441	7.1664	102.028	9.67848	4.6832
6.95176	16.317	7.95304	6.9568	8.561921	7.28488	103.043	9.80544	4.77392
7.112	16.5605	8.0412	7.13432	8.727761	7.37904	103.21	9.9672	4.808
7.22696	16.8594	8.3136	7.26376	8.904081	7.49592	103.931	10.0483	5.65976
7.35008	17.1223	8.46952	7.35432	8.994081	7.71336	104.058	10.1973	5.71432
7.45616	17.3901	8.56104	7.48952	9.158961	7.78552	104.834	10.325	5.77576
7.61288	17.6477	8.69824	7.61136	9.297921	7.86808	104.882	10.418	5.93488
7.72544	17.9322	8.83712	7.75736	9.458881	7.97872	104.927	10.5946	5.99344
7.84048	18.2186	8.94824	7.89328	9.617601	8.07944	106.263	10.6737	6.2232
7.99168	18.5071	9.0636	7.98376	9.747602	8.19192	106.439	10.7926	6.25808
8.12184	18.779	9.13856	8.12624	9.860722	8.29112	106.978	10.8915	6.40088
